equipo_id,tipo_equipo,horas_trabajadas,combustible_L,estado,eficiencia_pct,fecha_registro,_ingested_at,_source
EQ-1819,Excavadora,1246.9,2964.4,Mantenimiento,88.7,2024-02-18,20260405_172418,iot_telemetry
EQ-1669,Grúa,326.3,5275.0,Falla crítica,52.4,2024-01-09,20260405_172418,iot_telemetry
EQ-1884,Grúa,724.3,4013.9,En espera,69.9,2024-01-16,20260405_172418,iot_telemetry
EQ-1485,Pavimentadora,774.6,2097.9,Falla crítica,100.9,2024-05-05,20260405_172418,iot_telemetry
EQ-1971,Volquete,390.2,3567.2,null,55.1,2024-08-11,20260405_172418,iot_telemetry
EQ-1547,Volquete,552.3,1427.7,Falla crítica,66.7,2024-01-08,20260405_172418,iot_telemetry
EQ-1728,Volquete,1631.9,2507.7,Operativo,56.8,2024-09-15,20260405_172418,iot_telemetry
EQ-1088,Pavimentadora,394.5,1900.5,Falla crítica,69.0,2024-11-08,20260405_172418,iot_telemetry
EQ-1082,Compactadora,2197.6,226.4,Falla crítica,62.6,2024-03-18,20260405_172418,iot_telemetry
EQ-1054,Rodillo,1914.1,4876.6,Falla crítica,42.0,2024-08-11,20260405_172418,iot_telemetry
EQ-0526,Pavimentadora,2003.5,5494.1,null,87.6,2024-04-17,20260405_172418,iot_telemetry
EQ-0399,Pavimentadora,2113.2,703.4,Operativo,82.7,2024-10-04,20260405_172418,iot_telemetry
EQ-1241,Excavadora,365.6,2098.3,OPERATIVO,63.3,2024-08-27,20260405_172418,iot_telemetry
EQ-1275,Grúa,483.5,5245.1,null,83.5,2024-11-22,20260405_172418,iot_telemetry
EQ-0381,Rodillo,1014.7,3114.9,Mantenimiento,53.1,2024-11-12,20260405_172418,iot_telemetry
EQ-0614,Motoniveladora,1970.6,5348.1,Mantenimiento,49.6,2024-03-25,20260405_172418,iot_telemetry
EQ-1526,Excavadora,287.6,3313.3,En espera,56.7,2024-03-29,20260405_172418,iot_telemetry
EQ-1949,Rodillo,135.5,2178.7,En espera,95.2,2024-04-25,20260405_172418,iot_telemetry
EQ-0179,Retroexcavadora,9.5,679.2,Falla crítica,74.4,2024-03-04,20260405_172418,iot_telemetry
EQ-1551,Compactadora,1981.3,4165.2,Mantenimiento,92.8,2024-11-26,20260405_172418,iot_telemetry
EQ-1340,Compactadora,625.3,3601.2,Falla crítica,63.3,2024-09-20,20260405_172418,iot_telemetry
EQ-0513,Retroexcavadora,713.5,3044.5,Mantenimiento,104.5,2024-11-02,20260405_172418,iot_telemetry
EQ-0262,Pavimentadora,741.2,162.3,Operativo,83.2,2024-04-27,20260405_172418,iot_telemetry
EQ-0187,Motoniveladora,1448.5,68.4,OPERATIVO,77.6,2024-05-30,20260405_172418,iot_telemetry
EQ-0707,Grúa,1163.1,5443.7,null,76.1,2024-03-02,20260405_172418,iot_telemetry
EQ-1431,Excavadora,734.3,2054.1,Falla crítica,100.7,2024-09-15,20260405_172418,iot_telemetry
EQ-1437,Grúa,39.6,916.1,Mantenimiento,58.2,2024-06-02,20260405_172418,iot_telemetry
EQ-0685,Grúa,362.8,361.9,Operativo,42.9,2024-01-09,20260405_172418,iot_telemetry
EQ-1688,Volquete,1047.1,4513.9,Operativo,50.7,2024-10-05,20260405_172418,iot_telemetry
EQ-0694,Volquete,1720.2,2931.8,Mantenimiento,103.2,2024-01-10,20260405_172418,iot_telemetry
EQ-1835,Motoniveladora,1618.3,4005.8,En espera,48.0,2024-09-28,20260405_172418,iot_telemetry
EQ-1216,Rodillo,1274.4,4314.3,OPERATIVO,65.3,2024-01-10,20260405_172418,iot_telemetry
EQ-0281,Retroexcavadora,-1.0,159.3,Operativo,43.7,2024-10-13,20260405_172418,iot_telemetry
EQ-0819,Grúa,652.1,3682.3,OPERATIVO,41.7,2024-08-30,20260405_172418,iot_telemetry
EQ-1912,Volquete,1188.6,4478.7,null,53.4,2024-07-28,20260405_172418,iot_telemetry
EQ-1283,Excavadora,1087.7,242.1,Falla crítica,53.0,2024-04-09,20260405_172418,iot_telemetry
EQ-0995,Retroexcavadora,827.6,2213.9,Mantenimiento,44.4,2024-05-30,20260405_172418,iot_telemetry
EQ-0200,Motoniveladora,503.1,2575.6,Falla crítica,76.2,2024-01-07,20260405_172418,iot_telemetry
EQ-0284,Motoniveladora,1334.4,1103.2,Operativo,62.3,2024-03-19,20260405_172418,iot_telemetry
EQ-1217,Excavadora,1261.1,4173.3,null,96.4,2024-02-22,20260405_172418,iot_telemetry
EQ-1811,Rodillo,711.1,3344.5,Falla crítica,40.4,2024-12-25,20260405_172418,iot_telemetry
EQ-1146,Volquete,830.7,4506.5,Falla crítica,64.5,2024-10-02,20260405_172418,iot_telemetry
EQ-1683,Compactadora,1041.0,2677.9,OPERATIVO,86.6,2024-12-15,20260405_172418,iot_telemetry
EQ-1502,Retroexcavadora,2057.4,4942.5,OPERATIVO,90.2,2024-06-03,20260405_172418,iot_telemetry
EQ-0586,Compactadora,988.3,1010.4,Falla crítica,78.0,2024-09-23,20260405_172418,iot_telemetry
EQ-0966,Grúa,-1.0,1147.5,null,68.1,2024-07-01,20260405_172418,iot_telemetry
EQ-0616,Pavimentadora,1703.5,2012.7,Falla crítica,89.1,2024-12-10,20260405_172418,iot_telemetry
EQ-1981,Motoniveladora,1803.8,2848.2,Mantenimiento,83.2,2024-05-11,20260405_172418,iot_telemetry
EQ-1096,Excavadora,266.5,5425.1,En espera,97.8,2024-01-08,20260405_172418,iot_telemetry
EQ-0724,Retroexcavadora,1697.3,4862.4,OPERATIVO,40.2,2024-09-21,20260405_172418,iot_telemetry
EQ-0722,Compactadora,23.2,294.8,Operativo,59.4,2024-02-01,20260405_172418,iot_telemetry
EQ-1596,Compactadora,1447.2,5259.5,Falla crítica,92.7,2024-05-02,20260405_172418,iot_telemetry
EQ-0867,Pavimentadora,1024.0,5291.1,Operativo,77.5,2024-10-13,20260405_172418,iot_telemetry
EQ-0173,Retroexcavadora,1486.2,294.6,null,74.0,2024-04-08,20260405_172418,iot_telemetry
EQ-1893,Rodillo,774.8,3528.7,OPERATIVO,47.5,2024-08-25,20260405_172418,iot_telemetry
EQ-0308,Volquete,8.1,75.5,Falla crítica,95.0,2024-06-17,20260405_172418,iot_telemetry
EQ-0035,Grúa,1715.2,5385.2,En espera,82.6,2024-12-05,20260405_172418,iot_telemetry
EQ-1974,Motoniveladora,40.5,109.2,null,104.3,2024-05-12,20260405_172418,iot_telemetry
EQ-1594,Motoniveladora,802.7,3835.4,null,46.5,2024-04-02,20260405_172418,iot_telemetry
EQ-1468,Grúa,530.8,5360.2,Falla crítica,86.7,2024-11-14,20260405_172418,iot_telemetry
EQ-1988,Grúa,416.8,1577.7,OPERATIVO,89.1,2024-08-10,20260405_172418,iot_telemetry
EQ-0276,Volquete,1147.6,3651.1,Operativo,45.8,2024-05-26,20260405_172418,iot_telemetry
EQ-1057,Motoniveladora,80.7,5218.6,En espera,48.4,2024-02-12,20260405_172418,iot_telemetry
EQ-1223,Compactadora,1560.3,2790.7,Mantenimiento,75.2,2024-10-12,20260405_172418,iot_telemetry
EQ-1061,Volquete,513.4,1854.0,En espera,43.1,2024-06-10,20260405_172418,iot_telemetry
EQ-1744,Excavadora,1176.5,2268.2,Mantenimiento,58.1,2024-10-28,20260405_172418,iot_telemetry
EQ-0775,Pavimentadora,1020.5,825.7,En espera,58.8,2024-12-05,20260405_172418,iot_telemetry
EQ-0625,Excavadora,1280.9,2087.6,null,101.4,2024-03-29,20260405_172418,iot_telemetry
EQ-1167,Excavadora,1059.2,5185.4,Mantenimiento,68.4,2024-10-29,20260405_172418,iot_telemetry
EQ-1075,Rodillo,718.7,4851.9,OPERATIVO,51.0,2024-12-10,20260405_172418,iot_telemetry
EQ-1811,Retroexcavadora,1580.2,4188.6,Falla crítica,78.7,2024-05-01,20260405_172418,iot_telemetry
EQ-0300,Pavimentadora,1603.1,2777.2,OPERATIVO,51.7,2024-07-12,20260405_172418,iot_telemetry
EQ-1119,Motoniveladora,360.1,1989.3,Mantenimiento,63.9,2024-09-16,20260405_172418,iot_telemetry
EQ-1268,Motoniveladora,1000.0,5094.4,En espera,90.7,2024-01-08,20260405_172418,iot_telemetry
EQ-0582,Pavimentadora,816.3,3426.1,Mantenimiento,81.5,2024-03-22,20260405_172418,iot_telemetry
EQ-1738,Compactadora,1894.8,3901.0,Operativo,42.0,2024-09-09,20260405_172418,iot_telemetry
EQ-0072,Retroexcavadora,2101.9,2991.6,OPERATIVO,94.1,2024-11-01,20260405_172418,iot_telemetry
EQ-1069,Retroexcavadora,1318.9,1874.1,null,50.3,2024-04-17,20260405_172418,iot_telemetry
EQ-0627,Pavimentadora,-1.0,3032.9,Mantenimiento,101.3,2024-02-19,20260405_172418,iot_telemetry
EQ-0636,Compactadora,1512.6,1893.4,Mantenimiento,46.8,2024-09-17,20260405_172418,iot_telemetry
EQ-1148,Compactadora,1278.6,527.7,null,67.8,2024-07-14,20260405_172418,iot_telemetry
EQ-1283,Grúa,221.7,1827.3,null,51.2,2024-06-11,20260405_172418,iot_telemetry
EQ-1243,Volquete,425.4,476.4,Mantenimiento,41.3,2024-10-21,20260405_172418,iot_telemetry
EQ-0431,Rodillo,1201.2,5471.7,OPERATIVO,42.2,2024-06-07,20260405_172418,iot_telemetry
EQ-1916,Volquete,2105.1,3462.4,Falla crítica,60.8,2024-07-05,20260405_172418,iot_telemetry
EQ-1221,Pavimentadora,174.8,3935.2,En espera,90.2,2024-03-10,20260405_172418,iot_telemetry
EQ-0462,Motoniveladora,495.8,1136.6,En espera,46.5,2024-01-03,20260405_172418,iot_telemetry
