tipo_falla,severidad,tiempo_parada_hrs,costo_reparacion,equipo_id,id_proyecto,fecha,_ingested_at,_source
Accidente,Crítica,3.4,17152.39,EQ-0622,PRY-0489,2024-11-06,20260405_211439,sistema_hsec
Falla eléctrica,Baja,4.6,36483.7,EQ-0948,PRY-0175,2024-10-11,20260405_211439,sistema_hsec
Falla software,Alta,6.4,42129.39,EQ-0668,PRY-0210,2024-01-21,20260405_211439,sistema_hsec
Rotura tubería,Media,7.9,6495.97,EQ-1473,PRY-0044,2024-09-18,20260405_211439,sistema_hsec
Rotura tubería,BAJA,2.0,18633.83,EQ-0484,PRY-0112,2024-12-31,20260405_211439,sistema_hsec
Falla mecánica,Baja,10.7,22737.33,EQ-0520,PRY-0175,2024-07-09,20260405_211439,sistema_hsec
Rotura tubería,Baja,0.6,47748.77,EQ-1481,PRY-0214,2024-08-02,20260405_211439,sistema_hsec
Deslizamiento,Baja,0.5,36290.39,EQ-1639,PRY-0188,2024-07-04,20260405_211439,sistema_hsec
Deslizamiento,Media,9.1,20601.98,EQ-0880,PRY-0232,2024-04-20,20260405_211439,sistema_hsec
Rotura tubería,BAJA,13.7,11157.94,EQ-1118,PRY-0178,2024-06-10,20260405_211439,sistema_hsec
Falla eléctrica,Baja,3.1,21156.73,EQ-0864,PRY-0006,2024-04-16,20260405_211439,sistema_hsec
Falla mecánica,Baja,14.8,32179.51,EQ-1484,PRY-0170,2024-01-22,20260405_211439,sistema_hsec
Lluvia,Baja,0.4,53570.31,EQ-0382,PRY-0287,2024-10-25,20260405_211439,sistema_hsec
Falla software,Baja,0.9,19597.01,EQ-0460,PRY-0451,2024-05-09,20260405_211439,sistema_hsec
Lluvia,Alta,5.9,12005.45,EQ-1788,PRY-0279,2024-05-09,20260405_211439,sistema_hsec
Rotura tubería,BAJA,21.5,48673.94,EQ-1996,PRY-0490,2024-07-02,20260405_211439,sistema_hsec
Deslizamiento,Media,0.9,3152.31,EQ-1049,PRY-0339,2024-10-09,20260405_211439,sistema_hsec
Accidente,Alta,-5.0,41425.4,EQ-1990,PRY-0437,2024-02-19,20260405_211439,sistema_hsec
Deslizamiento,Media,0.6,54352.8,EQ-1604,PRY-0336,2024-10-11,20260405_211439,sistema_hsec
Rotura tubería,Media,1.9,51655.98,EQ-0654,PRY-0433,2024-10-01,20260405_211439,sistema_hsec
Deslizamiento,Alta,21.1,54736.02,EQ-0495,PRY-0159,2024-12-31,20260405_211439,sistema_hsec
Falla eléctrica,Media,1.1,14316.67,EQ-0465,PRY-0471,2024-04-14,20260405_211439,sistema_hsec
Rotura tubería,Crítica,14.0,21763.88,EQ-0994,PRY-0002,2024-09-28,20260405_211439,sistema_hsec
Falla eléctrica,Media,11.2,24615.19,EQ-0135,PRY-0311,2024-04-27,20260405_211439,sistema_hsec
Lluvia,Baja,2.0,12915.72,EQ-0198,PRY-0293,2024-05-05,20260405_211439,sistema_hsec
Lluvia,Alta,5.9,27842.83,EQ-0182,PRY-0487,2024-05-13,20260405_211439,sistema_hsec
Accidente,Media,7.6,27617.62,EQ-1916,PRY-0318,2024-10-11,20260405_211439,sistema_hsec
Falla software,Media,14.2,34139.68,EQ-1554,PRY-0109,2024-05-18,20260405_211439,sistema_hsec
Falla eléctrica,Media,1.8,27894.12,EQ-1906,PRY-0400,2024-07-05,20260405_211439,sistema_hsec
Accidente,Media,2.2,41478.33,EQ-0049,PRY-0335,2024-03-31,20260405_211439,sistema_hsec
Falla software,Media,8.4,28274.86,EQ-0583,PRY-0276,2024-09-19,20260405_211439,sistema_hsec
Falla mecánica,Alta,6.3,7070.2,EQ-1011,PRY-0063,2024-05-21,20260405_211439,sistema_hsec
Falla mecánica,Alta,18.5,32149.58,EQ-0738,PRY-0322,2024-03-06,20260405_211439,sistema_hsec
Falla software,Baja,2.7,42412.1,EQ-1639,PRY-0108,2024-11-22,20260405_211439,sistema_hsec
Rotura tubería,Media,16.0,40891.45,EQ-1751,PRY-0244,2024-04-25,20260405_211439,sistema_hsec
Falla software,Crítica,4.8,20544.82,EQ-1553,PRY-0087,2024-07-24,20260405_211439,sistema_hsec
Lluvia,Baja,51.0,51908.43,EQ-0009,PRY-0038,2024-01-12,20260405_211439,sistema_hsec
Lluvia,Media,8.6,5078.29,EQ-1967,PRY-0024,2024-12-13,20260405_211439,sistema_hsec
Falla software,Crítica,13.3,8606.01,EQ-1142,PRY-0125,2024-10-27,20260405_211439,sistema_hsec
Lluvia,Baja,1.6,32971.58,EQ-0615,PRY-0031,2024-12-01,20260405_211439,sistema_hsec
Falla eléctrica,critica,1.1,16109.87,EQ-0657,PRY-0220,2024-01-31,20260405_211439,sistema_hsec
Rotura tubería,Alta,12.8,30154.97,EQ-0182,PRY-0429,2024-02-12,20260405_211439,sistema_hsec
Rotura tubería,Media,16.0,19907.61,EQ-1052,PRY-0061,2024-10-10,20260405_211439,sistema_hsec
Falla software,Alta,0.3,3770.43,EQ-0070,PRY-0344,2024-04-05,20260405_211439,sistema_hsec
Rotura tubería,Media,0.6,46265.84,EQ-0408,PRY-0164,2024-03-12,20260405_211439,sistema_hsec
Accidente,Media,24.1,3069.93,EQ-0357,PRY-0477,2024-11-29,20260405_211439,sistema_hsec
Deslizamiento,critica,0.9,10150.31,EQ-0040,PRY-0296,2024-12-29,20260405_211439,sistema_hsec
Lluvia,Baja,0.8,42383.27,EQ-0132,PRY-0305,2024-12-18,20260405_211439,sistema_hsec
Deslizamiento,Baja,7.0,5928.91,EQ-1213,PRY-0333,2024-12-04,20260405_211439,sistema_hsec
Falla software,Media,3.3,10776.45,EQ-1053,PRY-0396,2024-06-04,20260405_211439,sistema_hsec
Accidente,Media,5.4,6515.86,EQ-1453,PRY-0299,2024-02-20,20260405_211439,sistema_hsec
Falla mecánica,Baja,4.2,28460.86,EQ-0114,PRY-0471,2024-03-04,20260405_211439,sistema_hsec
Lluvia,Media,4.8,41956.4,EQ-0515,PRY-0296,2024-01-21,20260405_211439,sistema_hsec
Deslizamiento,Media,37.4,13296.94,EQ-1091,PRY-0237,2024-06-15,20260405_211439,sistema_hsec
Falla software,Baja,2.1,10507.38,EQ-1990,PRY-0342,2024-06-05,20260405_211439,sistema_hsec
Falla eléctrica,Alta,4.0,26742.02,EQ-0892,PRY-0121,2024-07-04,20260405_211439,sistema_hsec
Falla eléctrica,Crítica,7.3,18740.62,EQ-1469,PRY-0299,2024-07-07,20260405_211439,sistema_hsec
Lluvia,Media,2.3,52267.6,EQ-1740,PRY-0247,2024-09-13,20260405_211439,sistema_hsec
Falla mecánica,Alta,11.7,4990.99,EQ-0750,PRY-0208,2024-04-10,20260405_211439,sistema_hsec
Deslizamiento,Media,1.4,38953.35,EQ-0091,PRY-0406,2024-04-08,20260405_211439,sistema_hsec
Rotura tubería,Alta,6.8,24834.4,EQ-1736,PRY-0442,2024-01-03,20260405_211439,sistema_hsec
Lluvia,Media,3.5,38793.86,EQ-1676,PRY-0226,2024-04-08,20260405_211439,sistema_hsec
Rotura tubería,Crítica,70.1,25107.95,EQ-1130,PRY-0475,2024-01-11,20260405_211439,sistema_hsec
Falla eléctrica,Media,0.1,11450.89,EQ-1836,PRY-0109,2024-09-23,20260405_211439,sistema_hsec
Falla software,BAJA,47.2,36787.21,EQ-0131,PRY-0055,2024-03-01,20260405_211439,sistema_hsec
Deslizamiento,Alta,0.7,13959.36,EQ-0812,PRY-0423,2024-03-05,20260405_211439,sistema_hsec
Rotura tubería,Media,5.3,48272.17,EQ-0609,PRY-0038,2024-06-24,20260405_211439,sistema_hsec
Lluvia,critica,4.1,39983.55,EQ-0446,PRY-0454,2024-12-30,20260405_211439,sistema_hsec
Rotura tubería,critica,-5.0,25529.6,EQ-1797,PRY-0299,2024-11-23,20260405_211439,sistema_hsec
Falla mecánica,Media,2.1,22432.86,EQ-1357,PRY-0220,2024-02-19,20260405_211439,sistema_hsec
Deslizamiento,Baja,19.2,16147.77,EQ-1108,PRY-0047,2024-09-25,20260405_211439,sistema_hsec
Rotura tubería,Alta,6.1,37369.13,EQ-1940,PRY-0436,2024-08-31,20260405_211439,sistema_hsec
Lluvia,BAJA,7.2,23500.46,EQ-0101,PRY-0021,2024-08-14,20260405_211439,sistema_hsec
Lluvia,Alta,10.4,41178.71,EQ-1866,PRY-0375,2024-03-19,20260405_211439,sistema_hsec
Lluvia,Crítica,13.3,956.8,EQ-0070,PRY-0337,2024-02-21,20260405_211439,sistema_hsec
Accidente,Baja,11.4,47275.94,EQ-0233,PRY-0344,2024-08-05,20260405_211439,sistema_hsec
Falla eléctrica,BAJA,0.8,13582.03,EQ-0645,PRY-0385,2024-06-10,20260405_211439,sistema_hsec
Rotura tubería,Baja,8.9,13105.4,EQ-1837,PRY-0172,2024-05-23,20260405_211439,sistema_hsec
Falla software,Alta,14.4,54196.35,EQ-1036,PRY-0057,2024-04-09,20260405_211439,sistema_hsec
Deslizamiento,Crítica,18.2,54095.44,EQ-0414,PRY-0363,2024-10-10,20260405_211439,sistema_hsec
Falla mecánica,BAJA,2.2,14698.98,EQ-0961,PRY-0094,2024-05-14,20260405_211439,sistema_hsec
Accidente,Media,13.0,4203.23,EQ-1389,PRY-0102,2024-04-18,20260405_211439,sistema_hsec
Falla eléctrica,Crítica,0.9,22432.99,EQ-1757,PRY-0187,2024-09-02,20260405_211439,sistema_hsec
Accidente,Media,5.2,13080.37,EQ-0663,PRY-0049,2024-01-17,20260405_211439,sistema_hsec
Rotura tubería,Baja,0.5,28415.92,EQ-0576,PRY-0154,2024-08-06,20260405_211439,sistema_hsec
Accidente,Alta,11.3,52453.73,EQ-1437,PRY-0352,2024-10-01,20260405_211439,sistema_hsec
Rotura tubería,BAJA,0.7,2970.84,EQ-1134,PRY-0444,2024-04-04,20260405_211439,sistema_hsec
Deslizamiento,Media,22.9,11465.83,EQ-0830,PRY-0300,2024-03-20,20260405_211439,sistema_hsec
Falla mecánica,Crítica,7.8,27086.74,EQ-1487,PRY-0410,2024-07-25,20260405_211439,sistema_hsec
Rotura tubería,BAJA,6.8,18879.73,EQ-1585,PRY-0273,2024-01-02,20260405_211439,sistema_hsec
Falla mecánica,Baja,1.1,53988.9,EQ-1875,PRY-0396,2024-11-23,20260405_211439,sistema_hsec
Rotura tubería,Media,15.4,21426.11,EQ-0886,PRY-0285,2024-02-17,20260405_211439,sistema_hsec
Falla software,BAJA,1.5,41890.82,EQ-1701,PRY-0497,2024-10-20,20260405_211439,sistema_hsec
Falla eléctrica,Media,4.3,30874.92,EQ-1704,PRY-0007,2024-09-19,20260405_211439,sistema_hsec
Lluvia,Baja,1.9,52369.65,EQ-1189,PRY-0155,2024-12-13,20260405_211439,sistema_hsec
Falla mecánica,Baja,20.9,28879.99,EQ-0969,PRY-0218,2024-12-12,20260405_211439,sistema_hsec
Falla mecánica,Crítica,11.8,19891.06,EQ-1767,PRY-0256,2024-07-31,20260405_211439,sistema_hsec
Accidente,critica,5.0,5134.36,EQ-1404,PRY-0455,2024-10-02,20260405_211439,sistema_hsec
Falla software,Media,1.4,33442.4,EQ-1419,PRY-0268,2024-11-08,20260405_211439,sistema_hsec
Falla mecánica,Crítica,31.4,1753.18,EQ-0008,PRY-0233,2024-03-26,20260405_211439,sistema_hsec
Accidente,Baja,2.4,8798.55,EQ-0530,PRY-0074,2024-10-25,20260405_211439,sistema_hsec
Falla eléctrica,Alta,17.3,2812.63,EQ-1036,PRY-0305,2024-09-12,20260405_211439,sistema_hsec
Accidente,Media,-5.0,17647.61,EQ-1073,PRY-0444,2024-05-13,20260405_211439,sistema_hsec
Deslizamiento,Baja,18.9,4099.78,EQ-1444,PRY-0291,2024-09-26,20260405_211439,sistema_hsec
Falla software,Baja,0.8,34900.31,EQ-0132,PRY-0334,2024-01-24,20260405_211439,sistema_hsec
Rotura tubería,Baja,6.0,9164.5,EQ-1800,PRY-0020,2024-08-25,20260405_211439,sistema_hsec
Deslizamiento,critica,3.2,53744.69,EQ-1064,PRY-0461,2024-04-12,20260405_211439,sistema_hsec
Falla eléctrica,BAJA,10.9,46091.09,EQ-0936,PRY-0340,2024-06-26,20260405_211439,sistema_hsec
Falla eléctrica,Media,8.0,10281.87,EQ-1381,PRY-0096,2024-10-23,20260405_211439,sistema_hsec
Lluvia,Crítica,9.6,44461.62,EQ-1418,PRY-0111,2024-06-09,20260405_211439,sistema_hsec
Falla mecánica,Alta,15.3,5570.36,EQ-0326,PRY-0013,2024-03-10,20260405_211439,sistema_hsec
Falla software,Baja,12.3,43254.79,EQ-1270,PRY-0357,2024-06-23,20260405_211439,sistema_hsec
Lluvia,critica,7.8,39874.98,EQ-1110,PRY-0066,2024-01-30,20260405_211439,sistema_hsec
Falla eléctrica,Baja,9.2,40253.64,EQ-0819,PRY-0468,2024-09-22,20260405_211439,sistema_hsec
Falla mecánica,Alta,1.9,45852.94,EQ-0113,PRY-0017,2024-05-25,20260405_211439,sistema_hsec
Falla mecánica,Crítica,7.4,39954.47,EQ-1763,PRY-0092,2024-05-11,20260405_211439,sistema_hsec
Deslizamiento,BAJA,0.2,39894.59,EQ-0927,PRY-0344,2024-01-13,20260405_211439,sistema_hsec
Falla software,Alta,3.1,12042.78,EQ-0558,PRY-0253,2024-12-06,20260405_211439,sistema_hsec
Accidente,Baja,-5.0,35992.12,EQ-0897,PRY-0290,2024-08-10,20260405_211439,sistema_hsec
Falla eléctrica,Media,2.9,6853.61,EQ-0015,PRY-0403,2024-12-10,20260405_211439,sistema_hsec
Falla mecánica,Media,29.4,25210.81,EQ-1776,PRY-0384,2024-12-06,20260405_211439,sistema_hsec
Falla mecánica,BAJA,3.7,4492.87,EQ-0853,PRY-0167,2024-11-07,20260405_211439,sistema_hsec
Lluvia,Media,3.5,21325.08,EQ-1059,PRY-0044,2024-02-26,20260405_211439,sistema_hsec
Falla software,BAJA,1.0,13834.89,EQ-1316,PRY-0379,2024-07-14,20260405_211439,sistema_hsec
Falla mecánica,Baja,0.7,15614.35,EQ-0484,PRY-0037,2024-04-29,20260405_211439,sistema_hsec
Falla mecánica,Media,2.4,16833.24,EQ-0802,PRY-0110,2024-03-30,20260405_211439,sistema_hsec
Lluvia,Alta,5.0,27963.01,EQ-0068,PRY-0115,2024-08-09,20260405_211439,sistema_hsec
Rotura tubería,critica,10.7,48706.1,EQ-1726,PRY-0163,2024-06-29,20260405_211439,sistema_hsec
Falla mecánica,Baja,4.5,9179.35,EQ-0282,PRY-0346,2024-07-08,20260405_211439,sistema_hsec
Accidente,Alta,1.4,2798.59,EQ-0701,PRY-0134,2024-01-22,20260405_211439,sistema_hsec
Falla eléctrica,Alta,7.1,53852.54,EQ-0106,PRY-0035,2024-02-24,20260405_211439,sistema_hsec
Falla software,Baja,0.9,18811.34,EQ-1149,PRY-0085,2024-12-02,20260405_211439,sistema_hsec
Lluvia,Alta,9.8,42832.95,EQ-1185,PRY-0148,2024-09-20,20260405_211439,sistema_hsec
Deslizamiento,BAJA,2.7,42585.93,EQ-1911,PRY-0470,2024-08-31,20260405_211439,sistema_hsec
Falla software,Media,8.4,7658.33,EQ-1172,PRY-0227,2024-10-01,20260405_211439,sistema_hsec
