material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source
Acero Corrugado,396.8,773.49,ml,CEMENTO SUR,2024-01-18,20260405_232605,erp_odoo
Piedra 3/4,472.61,351.58,m3,CONCREMAX,2024-03-25,20260405_232605,erp_odoo
Tubería HDPE,,703.53,ml,FIRTH,2024-11-29,20260405_232605,erp_odoo
Cemento,1801.53,377.81,,FIRTH,2024-05-13,20260405_232605,erp_odoo
Geomalla,3116.52,13.72,,CEMENTO SUR,2024-02-06,20260405_232605,erp_odoo
Asfalto RC-250,938.91,237.17,ton,CEMENTO SUR,2024-10-28,20260405_232605,erp_odoo
Cemento,2714.48,706.33,,YURA,2024-05-29,20260405_232605,erp_odoo
Geomalla,1951.81,767.88,,UNACEM,2024-11-06,20260405_232605,erp_odoo
Cemento,4000.8,244.29,und,EXSA,2024-03-21,20260405_232605,erp_odoo
Piedra 3/4,1046.61,375.7,m2,UNACEM,2024-10-23,20260405_232605,erp_odoo
Tubería HDPE,1124.24,573.22,,CONCREMAX,2024-12-30,20260405_232605,erp_odoo
Emulsión,1439.48,786.62,,YURA,2024-09-27,20260405_232605,erp_odoo
Tubería HDPE,3663.43,347.48,,UNACEM,2024-11-28,20260405_232605,erp_odoo
Acero Corrugado,1324.11,637.52,und,CEMENTO SUR,2024-06-21,20260405_232605,erp_odoo
Asfalto RC-250,99.78,650.75,,UNACEM,2024-06-27,20260405_232605,erp_odoo
Asfalto RC-250,1467.14,7.13,ton,CEMENTO SUR,2024-03-19,20260405_232605,erp_odoo
Tubería HDPE,1891.88,455.88,m2,YURA,2024-07-25,20260405_232605,erp_odoo
Emulsión,1145.19,460.68,m2,CONCREMAX,2024-03-12,20260405_232605,erp_odoo
Acero Corrugado,1230.36,339.86,m2,CONCREMAX,2024-07-05,20260405_232605,erp_odoo
Asfalto RC-250,984.06,740.6,ton,FIRTH,2024-03-05,20260405_232605,erp_odoo
Arena Gruesa,506.45,667.37,m3,EXSA,2024-07-18,20260405_232605,erp_odoo
Acero Corrugado,2424.57,105.21,ml,FIRTH,2024-12-27,20260405_232605,erp_odoo
Acero Corrugado,3402.92,429.75,m3,CEMENTO SUR,2024-12-23,20260405_232605,erp_odoo
Acero Corrugado,4035.23,659.44,und,UNACEM,2024-02-29,20260405_232605,erp_odoo
Cemento,3357.3,328.38,,EXSA,2024-05-08,20260405_232605,erp_odoo
Piedra 3/4,1621.89,760.75,m2,FIRTH,2024-01-11,20260405_232605,erp_odoo
Piedra 3/4,4566.31,219.7,,CONCREMAX,2024-12-03,20260405_232605,erp_odoo
Emulsión,3038.27,428.38,m3,EXSA,2024-11-23,20260405_232605,erp_odoo
Cemento,240.28,171.29,ton,EXSA,2024-06-13,20260405_232605,erp_odoo
Piedra 3/4,3443.65,209.16,,YURA,2024-03-14,20260405_232605,erp_odoo
Acero Corrugado,2630.03,792.39,und,FIRTH,2024-12-02,20260405_232605,erp_odoo
Tubería HDPE,1280.04,757.34,ton,YURA,2024-04-18,20260405_232605,erp_odoo
Tubería HDPE,1039.11,649.05,ton,CEMENTO SUR,2024-10-10,20260405_232605,erp_odoo
Tubería HDPE,4591.47,576.21,ml,FIRTH,2024-10-30,20260405_232605,erp_odoo
Piedra 3/4,918.38,495.45,ml,YURA,2024-12-01,20260405_232605,erp_odoo
Geomalla,3140.38,531.83,m3,UNACEM,2024-06-15,20260405_232605,erp_odoo
Geomalla,4258.76,63.39,m2,FIRTH,2024-06-28,20260405_232605,erp_odoo
Tubería HDPE,937.18,577.49,,UNACEM,2024-04-29,20260405_232605,erp_odoo
Geomalla,4616.92,73.95,ton,EXSA,2024-09-28,20260405_232605,erp_odoo
