id_proyecto,region,tipo_via,estado,contrato_soles,avance_pct,cpi,spi,_ingested_at,_source
PRY-0001,Tacna,Trocha,en ejecucion,12353072.32,63.4,1.019,0.986,20260405_211439,sqlserver_indumaq
PRY-0002,arequipa,Regional,en ejecucion,11651181.42,95.5,0.97,1.055,20260405_211439,sqlserver_indumaq
PRY-0003,,Bypass,Planificado,10329477.06,26.0,0.948,0.91,20260405_211439,sqlserver_indumaq
PRY-0004,Arequipa,??,NULL,5137591.4,15.4,1.088,1.116,20260405_211439,sqlserver_indumaq
PRY-0005,Moquegua,Regional,NULL,3348539.38,31.2,0.882,0.896,20260405_211439,sqlserver_indumaq
PRY-0006,Moquegua,Carretera Nacional,NULL,10237151.6,25.8,0.98,0.825,20260405_211439,sqlserver_indumaq
PRY-0007,Moquegua,??,En ejecución,12723112.8,75.7,0.873,0.758,20260405_211439,sqlserver_indumaq
PRY-0008,arequipa,Carretera Nacional,En ejecución,735665.44,73.3,0.888,0.97,20260405_211439,sqlserver_indumaq
PRY-0009,Puno,Carretera Nacional,En ejecución,9820648.94,67.0,0.759,1.007,20260405_211439,sqlserver_indumaq
PRY-0010,Moquegua,Carretera Nacional,Concluido,6921658.86,999.0,1.014,0.953,20260405_211439,sqlserver_indumaq
PRY-0011,,Carretera Nacional,en ejecucion,13522272.45,86.2,0.927,0.864,20260405_211439,sqlserver_indumaq
PRY-0012,Cusco,Regional,en ejecucion,5161357.5,95.7,0.898,1.014,20260405_211439,sqlserver_indumaq
PRY-0013,Tacna,Carretera Nacional,Paralizado,7375679.78,53.2,1.068,0.791,20260405_211439,sqlserver_indumaq
PRY-0014,arequipa,Puente,Paralizado,7964123.01,64.9,1.218,0.915,20260405_211439,sqlserver_indumaq
PRY-0015,AREQUIPA,Regional,Concluido,2536373.06,50.1,1.094,0.855,20260405_211439,sqlserver_indumaq
PRY-0016,Arequipa,Bypass,Concluido,10836938.39,28.4,0.877,1.131,20260405_211439,sqlserver_indumaq
PRY-0017,Arequipa,Regional,en ejecucion,12541907.0,28.6,0.808,0.971,20260405_211439,sqlserver_indumaq
PRY-0018,Tacna,Trocha,NULL,1339684.51,31.3,0.817,1.089,20260405_211439,sqlserver_indumaq
PRY-0019,Cusco,Bypass,Paralizado,4725137.9,19.1,0.803,0.916,20260405_211439,sqlserver_indumaq
PRY-0020,Puno,Carretera Nacional,NULL,1051647.88,90.2,1.355,0.892,20260405_211439,sqlserver_indumaq
PRY-0021,AREQUIPA,Carretera Nacional,Planificado,14369889.52,85.8,0.772,1.001,20260405_211439,sqlserver_indumaq
PRY-0022,arequipa,Trocha,En ejecución,10173947.9,46.2,0.922,1.047,20260405_211439,sqlserver_indumaq
PRY-0023,arequipa,??,en ejecucion,14480906.08,36.7,0.694,1.104,20260405_211439,sqlserver_indumaq
PRY-0024,AREQUIPA,Carretera Nacional,Planificado,8206667.04,93.9,0.955,1.063,20260405_211439,sqlserver_indumaq
PRY-0025,Arequipa,Bypass,Concluido,12129993.6,22.2,1.172,1.127,20260405_211439,sqlserver_indumaq
PRY-0026,Puno,Bypass,En ejecución,5929002.77,55.4,0.848,1.076,20260405_211439,sqlserver_indumaq
PRY-0027,,Bypass,Concluido,5630375.97,5.4,1.193,1.006,20260405_211439,sqlserver_indumaq
PRY-0028,Puno,Regional,Paralizado,5984883.35,19.1,0.704,1.202,20260405_211439,sqlserver_indumaq
PRY-0029,,Regional,NULL,10039000.94,60.4,0.871,0.85,20260405_211439,sqlserver_indumaq
PRY-0030,Arequipa,Bypass,Planificado,5712070.69,66.2,1.178,1.089,20260405_211439,sqlserver_indumaq
PRY-0031,Puno,Regional,NULL,13555328.05,999.0,0.811,0.636,20260405_211439,sqlserver_indumaq
PRY-0032,Tacna,??,En ejecución,14757485.54,999.0,0.897,0.856,20260405_211439,sqlserver_indumaq
PRY-0033,Moquegua,Regional,En ejecución,941184.47,99.3,1.058,0.852,20260405_211439,sqlserver_indumaq
PRY-0034,Arequipa,Puente,Concluido,3307537.71,76.4,1.025,0.803,20260405_211439,sqlserver_indumaq
PRY-0035,Moquegua,??,NULL,2127624.89,46.5,1.108,0.911,20260405_211439,sqlserver_indumaq
PRY-0036,,Regional,en ejecucion,1114278.68,83.4,0.848,0.883,20260405_211439,sqlserver_indumaq
PRY-0037,AREQUIPA,Puente,Planificado,3802244.4,12.0,1.147,0.834,20260405_211439,sqlserver_indumaq
PRY-0038,arequipa,??,En ejecución,6978503.15,999.0,1.026,0.904,20260405_211439,sqlserver_indumaq
PRY-0039,arequipa,Puente,En ejecución,12636360.3,51.8,1.176,0.844,20260405_211439,sqlserver_indumaq
PRY-0040,Arequipa,Regional,NULL,3716448.44,17.8,0.869,0.834,20260405_211439,sqlserver_indumaq
PRY-0041,Cusco,Regional,Paralizado,7662206.21,97.3,0.829,0.85,20260405_211439,sqlserver_indumaq
PRY-0042,Moquegua,Regional,Planificado,13979471.72,33.8,0.923,0.785,20260405_211439,sqlserver_indumaq
PRY-0043,Arequipa,Carretera Nacional,Planificado,10174613.25,61.5,0.666,0.983,20260405_211439,sqlserver_indumaq
PRY-0044,Puno,Puente,En ejecución,12072145.79,87.9,1.264,0.848,20260405_211439,sqlserver_indumaq
PRY-0045,Moquegua,Carretera Nacional,NULL,8489412.57,50.7,1.02,0.831,20260405_211439,sqlserver_indumaq
PRY-0046,,Bypass,Planificado,14716763.65,11.5,0.906,0.889,20260405_211439,sqlserver_indumaq
PRY-0047,Moquegua,Regional,Planificado,9035601.24,81.9,0.885,0.784,20260405_211439,sqlserver_indumaq
PRY-0048,Moquegua,Bypass,En ejecución,-999.0,35.3,0.933,0.973,20260405_211439,sqlserver_indumaq
PRY-0049,AREQUIPA,??,En ejecución,3370750.6,98.3,0.767,1.137,20260405_211439,sqlserver_indumaq
