material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source,costo_total,_processed_at
Acero Corrugado,396.8,773.49,ml,CEMENTO SUR,2024-01-18,20260405_174124,erp_odoo,306920.83,20260405_175213
Piedra 3/4,472.61,351.58,m3,CONCREMAX,2024-03-25,20260405_174124,erp_odoo,166160.22,20260405_175213
Cemento,1801.53,377.81,und,FIRTH,2024-05-13,20260405_174124,erp_odoo,680636.05,20260405_175213
Geomalla,3116.52,13.72,und,CEMENTO SUR,2024-02-06,20260405_174124,erp_odoo,42758.65,20260405_175213
Asfalto RC-250,938.91,237.17,ton,CEMENTO SUR,2024-10-28,20260405_174124,erp_odoo,222681.28,20260405_175213
Cemento,2714.48,706.33,und,YURA,2024-05-29,20260405_174124,erp_odoo,1917318.66,20260405_175213
Geomalla,1951.81,767.88,und,UNACEM,2024-11-06,20260405_174124,erp_odoo,1498755.86,20260405_175213
Cemento,4000.8,244.29,und,EXSA,2024-03-21,20260405_174124,erp_odoo,977355.43,20260405_175213
Piedra 3/4,1046.61,375.7,m2,UNACEM,2024-10-23,20260405_174124,erp_odoo,393211.38,20260405_175213
Tubería HDPE,1124.24,573.22,und,CONCREMAX,2024-12-30,20260405_174124,erp_odoo,644436.85,20260405_175213
Emulsión,1439.48,786.62,und,YURA,2024-09-27,20260405_174124,erp_odoo,1132323.76,20260405_175213
Tubería HDPE,3663.43,347.48,und,UNACEM,2024-11-28,20260405_174124,erp_odoo,1272968.66,20260405_175213
Acero Corrugado,1324.11,637.52,und,CEMENTO SUR,2024-06-21,20260405_174124,erp_odoo,844146.61,20260405_175213
Asfalto RC-250,99.78,650.75,und,UNACEM,2024-06-27,20260405_174124,erp_odoo,64931.84,20260405_175213
Asfalto RC-250,1467.14,7.13,ton,CEMENTO SUR,2024-03-19,20260405_174124,erp_odoo,10460.71,20260405_175213
Tubería HDPE,1891.88,455.88,m2,YURA,2024-07-25,20260405_174124,erp_odoo,862470.25,20260405_175213
Emulsión,1145.19,460.68,m2,CONCREMAX,2024-03-12,20260405_174124,erp_odoo,527566.13,20260405_175213
Acero Corrugado,1230.36,339.86,m2,CONCREMAX,2024-07-05,20260405_174124,erp_odoo,418150.15,20260405_175213
Asfalto RC-250,984.06,740.6,ton,FIRTH,2024-03-05,20260405_174124,erp_odoo,728794.84,20260405_175213
Arena Gruesa,506.45,667.37,m3,EXSA,2024-07-18,20260405_174124,erp_odoo,337989.54,20260405_175213
Acero Corrugado,2424.57,105.21,ml,FIRTH,2024-12-27,20260405_174124,erp_odoo,255089.01,20260405_175213
Acero Corrugado,3402.92,429.75,m3,CEMENTO SUR,2024-12-23,20260405_174124,erp_odoo,1462404.87,20260405_175213
Acero Corrugado,4035.23,659.44,und,UNACEM,2024-02-29,20260405_174124,erp_odoo,2660992.07,20260405_175213
Cemento,3357.3,328.38,und,EXSA,2024-05-08,20260405_174124,erp_odoo,1102470.17,20260405_175213
Piedra 3/4,1621.89,760.75,m2,FIRTH,2024-01-11,20260405_174124,erp_odoo,1233852.82,20260405_175213
Piedra 3/4,4566.31,219.7,und,CONCREMAX,2024-12-03,20260405_174124,erp_odoo,1003218.31,20260405_175213
Emulsión,3038.27,428.38,m3,EXSA,2024-11-23,20260405_174124,erp_odoo,1301534.1,20260405_175213
Cemento,240.28,171.29,ton,EXSA,2024-06-13,20260405_174124,erp_odoo,41157.56,20260405_175213
Piedra 3/4,3443.65,209.16,und,YURA,2024-03-14,20260405_174124,erp_odoo,720273.83,20260405_175213
Acero Corrugado,2630.03,792.39,und,FIRTH,2024-12-02,20260405_174124,erp_odoo,2084009.47,20260405_175213
Tubería HDPE,1280.04,757.34,ton,YURA,2024-04-18,20260405_174124,erp_odoo,969425.49,20260405_175213
Tubería HDPE,1039.11,649.05,ton,CEMENTO SUR,2024-10-10,20260405_174124,erp_odoo,674434.35,20260405_175213
Tubería HDPE,4591.47,576.21,ml,FIRTH,2024-10-30,20260405_174124,erp_odoo,2645650.93,20260405_175213
Piedra 3/4,918.38,495.45,ml,YURA,2024-12-01,20260405_174124,erp_odoo,455011.37,20260405_175213
Geomalla,3140.38,531.83,m3,UNACEM,2024-06-15,20260405_174124,erp_odoo,1670148.3,20260405_175213
Geomalla,4258.76,63.39,m2,FIRTH,2024-06-28,20260405_174124,erp_odoo,269962.8,20260405_175213
Tubería HDPE,937.18,577.49,und,UNACEM,2024-04-29,20260405_174124,erp_odoo,541212.08,20260405_175213
Geomalla,4616.92,73.95,ton,EXSA,2024-09-28,20260405_174124,erp_odoo,341421.23,20260405_175213
Tubería HDPE,3356.65,280.25,und,EXSA,2024-12-14,20260405_174124,erp_odoo,940701.16,20260405_175213
Tubería HDPE,101.58,612.9,m2,UNACEM,2024-05-07,20260405_174124,erp_odoo,62258.38,20260405_175213
Acero Corrugado,3103.51,796.53,m2,UNACEM,2024-01-30,20260405_174124,erp_odoo,2472038.82,20260405_175213
Piedra 3/4,3168.59,681.6,ton,CEMENTO SUR,2024-01-13,20260405_174124,erp_odoo,2159710.94,20260405_175213
Acero Corrugado,294.09,716.83,m2,CONCREMAX,2024-05-22,20260405_174124,erp_odoo,210812.53,20260405_175213
Asfalto RC-250,2399.76,699.93,m3,CONCREMAX,2024-06-22,20260405_174124,erp_odoo,1679664.02,20260405_175213
Tubería HDPE,3152.3,454.11,und,EXSA,2024-03-13,20260405_174124,erp_odoo,1431490.95,20260405_175213
Arena Gruesa,68.13,55.98,ml,EXSA,2024-12-24,20260405_174124,erp_odoo,3813.92,20260405_175213
Acero Corrugado,3924.68,56.71,ml,CONCREMAX,2024-08-12,20260405_174124,erp_odoo,222568.6,20260405_175213
Emulsión,2077.27,425.11,m2,YURA,2024-06-27,20260405_174124,erp_odoo,883068.25,20260405_175213
Cemento,118.16,542.49,m2,FIRTH,2024-06-18,20260405_174124,erp_odoo,64100.62,20260405_175213
Asfalto RC-250,3571.63,625.72,und,EXSA,2024-07-13,20260405_174124,erp_odoo,2234840.32,20260405_175213
Emulsión,1926.59,25.08,und,FIRTH,2024-02-11,20260405_174124,erp_odoo,48318.88,20260405_175213
Piedra 3/4,1953.36,507.02,m3,FIRTH,2024-10-27,20260405_174124,erp_odoo,990392.59,20260405_175213
Cemento,2957.42,760.06,ml,CEMENTO SUR,2024-01-04,20260405_174124,erp_odoo,2247816.65,20260405_175213
Cemento,2332.96,391.31,ton,EXSA,2024-05-21,20260405_174124,erp_odoo,912910.58,20260405_175213
Piedra 3/4,1458.2,135.76,und,YURA,2024-09-01,20260405_174124,erp_odoo,197965.23,20260405_175213
Asfalto RC-250,1844.2,718.88,ml,CONCREMAX,2024-06-25,20260405_174124,erp_odoo,1325758.5,20260405_175213
Acero Corrugado,240.14,31.09,ton,EXSA,2024-09-06,20260405_174124,erp_odoo,7465.95,20260405_175213
Arena Gruesa,1404.15,340.56,ton,UNACEM,2024-06-16,20260405_174124,erp_odoo,478197.32,20260405_175213
Tubería HDPE,3877.97,757.8,m3,FIRTH,2024-02-16,20260405_174124,erp_odoo,2938725.67,20260405_175213
Tubería HDPE,1104.59,503.96,m2,CONCREMAX,2024-11-27,20260405_174124,erp_odoo,556669.18,20260405_175213
Arena Gruesa,3899.37,406.12,und,CONCREMAX,2024-07-19,20260405_174124,erp_odoo,1583612.14,20260405_175213
Arena Gruesa,1352.14,765.97,m2,CONCREMAX,2024-09-26,20260405_174124,erp_odoo,1035698.68,20260405_175213
Cemento,1143.05,516.76,ton,CONCREMAX,2024-05-20,20260405_174124,erp_odoo,590682.52,20260405_175213
Piedra 3/4,903.28,744.03,und,UNACEM,2024-11-23,20260405_174124,erp_odoo,672067.42,20260405_175213
Cemento,3063.59,35.82,m2,EXSA,2024-11-01,20260405_174124,erp_odoo,109737.79,20260405_175213
Asfalto RC-250,4759.09,320.6,ton,CEMENTO SUR,2024-05-01,20260405_174124,erp_odoo,1525764.25,20260405_175213
Arena Gruesa,1515.33,668.2,ton,UNACEM,2024-03-30,20260405_174124,erp_odoo,1012543.51,20260405_175213
Cemento,217.39,467.9,m2,CONCREMAX,2024-03-11,20260405_174124,erp_odoo,101716.78,20260405_175213
Tubería HDPE,2694.48,263.23,ton,CONCREMAX,2024-08-26,20260405_174124,erp_odoo,709267.97,20260405_175213
Acero Corrugado,1816.35,533.07,ml,CEMENTO SUR,2024-05-17,20260405_174124,erp_odoo,968241.69,20260405_175213
Piedra 3/4,3002.98,442.1,und,EXSA,2024-12-20,20260405_174124,erp_odoo,1327617.46,20260405_175213
Tubería HDPE,565.15,88.7,und,YURA,2024-10-11,20260405_174124,erp_odoo,50128.8,20260405_175213
Asfalto RC-250,2225.94,778.53,ton,EXSA,2024-02-04,20260405_174124,erp_odoo,1732961.07,20260405_175213
Arena Gruesa,4539.33,317.48,ml,EXSA,2024-03-16,20260405_174124,erp_odoo,1441146.49,20260405_175213
Geomalla,259.53,292.01,m2,YURA,2024-06-30,20260405_174124,erp_odoo,75785.36,20260405_175213
Arena Gruesa,832.98,502.39,und,CEMENTO SUR,2024-08-29,20260405_174124,erp_odoo,418480.82,20260405_175213
Geomalla,2006.58,324.19,m2,YURA,2024-04-22,20260405_174124,erp_odoo,650513.17,20260405_175213
Geomalla,3318.01,80.02,ton,YURA,2024-05-29,20260405_174124,erp_odoo,265507.16,20260405_175213
Piedra 3/4,499.52,251.16,und,EXSA,2024-02-07,20260405_174124,erp_odoo,125459.44,20260405_175213
Arena Gruesa,1573.43,425.09,m3,FIRTH,2024-01-03,20260405_174124,erp_odoo,668849.36,20260405_175213
Geomalla,4076.37,23.18,und,EXSA,2024-10-08,20260405_174124,erp_odoo,94490.26,20260405_175213
Cemento,828.4,293.97,m3,EXSA,2024-11-15,20260405_174124,erp_odoo,243524.75,20260405_175213
Cemento,62.41,337.08,und,CEMENTO SUR,2024-11-22,20260405_174124,erp_odoo,21037.16,20260405_175213
Arena Gruesa,2635.31,542.23,m2,YURA,2024-06-17,20260405_174124,erp_odoo,1428944.14,20260405_175213
Asfalto RC-250,1020.41,605.26,m3,UNACEM,2024-06-15,20260405_174124,erp_odoo,617613.36,20260405_175213
Acero Corrugado,687.48,756.41,und,YURA,2024-08-27,20260405_174124,erp_odoo,520016.75,20260405_175213
Geomalla,1547.45,276.56,und,FIRTH,2024-04-26,20260405_174124,erp_odoo,427962.77,20260405_175213
Emulsión,680.88,368.21,m2,YURA,2024-05-11,20260405_174124,erp_odoo,250706.82,20260405_175213
Emulsión,3899.71,406.39,m2,EXSA,2024-08-12,20260405_174124,erp_odoo,1584803.15,20260405_175213
Asfalto RC-250,4140.92,185.99,und,YURA,2024-06-25,20260405_174124,erp_odoo,770169.71,20260405_175213
Geomalla,1361.93,362.09,ml,YURA,2024-05-01,20260405_174124,erp_odoo,493141.23,20260405_175213
Acero Corrugado,3991.14,195.26,ml,CEMENTO SUR,2024-11-09,20260405_174124,erp_odoo,779310.0,20260405_175213
Emulsión,2211.39,581.16,m3,CEMENTO SUR,2024-10-05,20260405_174124,erp_odoo,1285171.41,20260405_175213
Acero Corrugado,4959.28,537.3,ml,UNACEM,2024-11-04,20260405_174124,erp_odoo,2664621.14,20260405_175213
Tubería HDPE,2906.16,645.51,ml,FIRTH,2024-07-29,20260405_174124,erp_odoo,1875955.34,20260405_175213
Tubería HDPE,2998.28,709.28,und,CEMENTO SUR,2024-03-03,20260405_174124,erp_odoo,2126620.04,20260405_175213
Piedra 3/4,3017.04,653.62,m3,UNACEM,2024-04-28,20260405_174124,erp_odoo,1971997.68,20260405_175213
Tubería HDPE,4397.72,50.28,und,CONCREMAX,2024-10-21,20260405_174124,erp_odoo,221117.36,20260405_175213
Geomalla,4932.41,312.51,m3,UNACEM,2024-07-16,20260405_174124,erp_odoo,1541427.45,20260405_175213
Emulsión,3590.15,330.99,ml,UNACEM,2024-11-04,20260405_174124,erp_odoo,1188303.75,20260405_175213
Emulsión,1455.23,473.88,ton,CEMENTO SUR,2024-09-27,20260405_174124,erp_odoo,689604.39,20260405_175213
Piedra 3/4,4178.22,95.01,ton,CONCREMAX,2024-09-12,20260405_174124,erp_odoo,396972.68,20260405_175213
Arena Gruesa,1720.12,562.52,m2,CEMENTO SUR,2024-08-30,20260405_174124,erp_odoo,967601.9,20260405_175213
Asfalto RC-250,1229.69,663.56,und,CONCREMAX,2024-09-12,20260405_174124,erp_odoo,815973.1,20260405_175213
Acero Corrugado,4471.71,485.09,ml,YURA,2024-11-02,20260405_174124,erp_odoo,2169181.8,20260405_175213
